OBJECTID,gbifID,accessRights,bibliographicCitation,identifier,language,license,modified,references,rights,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,reproductiveCondition,occurrenceStatus,preparations,disposition,associatedReferences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,previousIdentifications,materialSampleID,eventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,verbatimCoordinateSystem,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identificationQualifier,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,higherClassification,kingdom,phylum,class,taxonomic_order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,protocol,lastParsed,lastCrawled,repatriated,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,scientificName,iucnRedListCategory
312,3408237492,,,91675734,,CC_BY_NC_4_0,2021-11-04T06:21:04Z,https://www.inaturalist.org/observations/91675734,,plantflower,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/91675734,91675734,,plantflower,,,PRESENT,,,,,,,,,,,,2021-08-18 12:36:15,20:36:15Z,,,2021,8,18,Wed Aug 18 2021 12:36:15 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,60.984978,-149.576567,10,,,,,,,,200358708,,plantflower,2021-08-18 20:37:13,,,48715,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,muscaria,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:02:53.313Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,8168319,8168319,5,34,186,1499,4171,6005964,8168319,Amanita muscaria,Amanita,Amanita muscaria (L.) Lam.,Amanita muscaria,DWC_ARCHIVE,2022-03-15T19:02:53.313Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Amanita muscaria (L.) Lam.,NE
313,3408237491,,,91673097,,CC_BY_NC_4_0,2021-11-04T06:21:00Z,https://www.inaturalist.org/observations/91673097,,Caitlyn Cornish,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/91673097,91673097,,Caitlyn Cornish,,,PRESENT,,,,,,,,,,,,2021-08-15 14:40:32,22:40:32Z,,,2021,8,15,Sun Aug 15 2021 14:40:32 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.014556,-149.563737,4,,,,,,,,200353421,,Caitlyn Cornish,2021-08-18 20:12:15,,,47543,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,spectabilis,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:54.586Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2993761,2993761,6,7707728,220,691,5015,2988638,2993761,Rubus spectabilis,Rubus,Rubus spectabilis Pursh,Rubus spectabilis,DWC_ARCHIVE,2022-03-15T18:43:54.586Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Rubus spectabilis Pursh,NE
314,3408237451,,,86683984,,CC_BY_NC_4_0,2021-11-02T20:04:44Z,https://www.inaturalist.org/observations/86683984,,boldenowml,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/86683984,86683984,,boldenowml,,,PRESENT,,,,,,,,,,,,2021-07-11 16:55:21,00:55:21Z,,,2021,7,11,Sun Jul 11 2021 16:55:21 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.251397,-149.51317,1017,,,,,,,,190359126,,boldenowml,2021-07-12 6:52:56,,,357930,,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,nelsoniana,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:17.601Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,7177586,7177586,6,7707728,220,7219248,2402,6447095,7177586,Micranthes nelsoniana,Micranthes,Micranthes nelsoniana (D.Don) Small,Micranthes nelsoniana,DWC_ARCHIVE,2022-03-15T18:43:17.601Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Micranthes nelsoniana (D.Don) Small,NE
316,3408234453,,,83223888,,CC_BY_NC_4_0,2021-11-01T06:57:55Z,https://www.inaturalist.org/observations/83223888,,jaclynm88,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/83223888,83223888,,jaclynm88,,,PRESENT,,,,,,,,,,,,2021-06-16 4:01:25,04:01:25Z,,,2021,6,16,6/15/21 20:01,,,,US,Alaska,,,,"Anchorage, AK 99516, USA",,,,,61.028996,-149.756102,157,,,,,,,,217209377,,Norbert Sauberer,2021-10-29 11:29:51,,,77638,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,japonicus,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:11:30.370Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5356714,5356714,6,7707728,220,1370,5386,10356062,5356714,Lathyrus japonicus,Lathyrus,Lathyrus japonicus Willd.,Lathyrus japonicus,DWC_ARCHIVE,2022-03-15T19:11:30.370Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Lathyrus japonicus Willd.,LC
317,3408234443,,,81354830,,CC_BY_NC_4_0,2021-11-01T06:32:16Z,https://www.inaturalist.org/observations/81354830,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/81354830,81354830,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-06-02 13:16:53,21:16:53Z,,,2021,6,2,Wed Jun 02 2021 13:16:53 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.136113,-149.646322,5,,,,,,,,179923282,,billsherwonit,2021-06-02 21:17:08,,,163276,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,rossii,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:53:57.696Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5369874,5369874,6,7707728,220,691,5015,3024294,5369874,Geum rossii,Geum,Geum rossii (R.Br.) Ser.,Geum rossii,DWC_ARCHIVE,2022-03-15T18:53:57.696Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Geum rossii (R.Br.) Ser.,NE
318,3408233440,,,85550640,,CC_BY_NC_4_0,2021-11-02T19:38:51Z,https://www.inaturalist.org/observations/85550640,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/85550640,85550640,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-07-03 16:17:42,00:17:42Z,,,2021,7,3,Sat Jul 03 2021 16:17:42 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.108043,-149.660271,5,,,,,,,,188130638,,billsherwonit,2021-07-04 0:17:53,,,118830,,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Anticlea,elegans,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:06:27.979Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5295813,5295813,6,7707728,196,1172,7700,7508857,5295813,Anticlea elegans,Anticlea,Anticlea elegans (Pursh) Rydb.,Anticlea elegans,DWC_ARCHIVE,2022-03-15T19:06:27.979Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Anticlea elegans (Pursh) Rydb.,NE
319,3408233439,,,85545709,,CC_BY_NC_4_0,2021-11-02T19:38:48Z,https://www.inaturalist.org/observations/85545709,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/85545709,85545709,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-07-03 15:34:34,23:34:34Z,,,2021,7,3,Sat Jul 03 2021 15:34:34 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.117378,-149.663432,5,,,,,,,,188121769,,billsherwonit,2021-07-03 23:34:49,,,79153,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,multiradiata,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:08:02.570Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5389132,5389132,6,7707728,220,414,3065,5388868,5389132,Solidago multiradiata,Solidago,Solidago multiradiata Aiton,Solidago multiradiata,DWC_ARCHIVE,2022-03-15T19:08:02.570Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Solidago multiradiata Aiton,NE
320,3408229510,,,93294780,,CC_BY_NC_4_0,2021-11-03T05:42:46Z,https://www.inaturalist.org/observations/93294780,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/93294780,93294780,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-09-01 12:24:48,20:24:48Z,,,2021,9,1,Wed Sep 01 2021 12:24:48 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.144421,-149.665249,5,,,,,,,,203780394,,billsherwonit,2021-09-01 20:24:57,,,61470,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,minor,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:54:19.932Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,3172043,3172043,6,7707728,220,408,6651,3172042,3172043,Rhinanthus minor,Rhinanthus,Rhinanthus minor L.,Rhinanthus minor,DWC_ARCHIVE,2022-03-15T18:54:19.932Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Rhinanthus minor L.,NE
321,3408228587,,,98858426,,CC_BY_NC_4_0,2021-11-04T02:38:15Z,https://www.inaturalist.org/observations/98858426,,C.S.Yampae,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/98858426,98858426,,C.S.Yampae,,,PRESENT,,,,,,,,,,,,2021-10-20 11:12:00,19:12:00Z,,,2021,10,20,Wed Oct 20 2021 11:12:00 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.146878,-149.714344,177,,,,,,,,216515545,,Bruce Bennett,2021-10-26 4:07:52,,Given the locality,78793,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Pyrola,asarifolia,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:09:37.580Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2888271,2888271,6,7707728,220,1353,2505,2888249,2888271,Pyrola asarifolia,Pyrola,Pyrola asarifolia Michx.,Pyrola asarifolia,DWC_ARCHIVE,2022-03-15T19:09:37.580Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Pyrola asarifolia Michx.,NE
322,3408228479,,,88185495,,CC_BY_NC_4_0,2021-11-03T05:37:20Z,https://www.inaturalist.org/observations/88185495,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/88185495,88185495,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-07-22 14:24:11,22:24:11Z,,,2021,7,22,Thu Jul 22 2021 14:24:11 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.085168,-149.591333,10,,,,,,,,193315471,,billsherwonit,2021-07-22 22:24:18,,,167420,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula,cuneifolia,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:46.979Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5414327,5414327,6,7707728,220,1353,6674,8026112,5414327,Primula cuneifolia,Primula,Primula cuneifolia Ledeb.,Primula cuneifolia,DWC_ARCHIVE,2022-03-15T18:43:46.979Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Primula cuneifolia Ledeb.,LC
323,3408225475,,,86500509,,CC_BY_NC_4_0,2021-11-02T19:58:39Z,https://www.inaturalist.org/observations/86500509,,outdoorexploring,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/86500509,86500509,,outdoorexploring,,,PRESENT,,,,,,,,,,,,2021-07-10 17:28:06,01:28:06Z,,,2021,7,10,Sat Jul 10 2021 17:28:06 GMT-0800 (AKDT),,,,US,Alaska,,,,"Anchorage County, US-AK, US",,,,,61.317416,-149.455977,4,,,,,,,,193398151,,pynklynx,2021-07-23 7:10:21,,,47700,,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,erianthum,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:02.870Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2890394,2890394,6,7707728,220,624,4676,2889949,2890394,Geranium erianthum,Geranium,Geranium erianthum DC.,Geranium erianthum,DWC_ARCHIVE,2022-03-15T18:43:02.870Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Geranium erianthum DC.,NE
324,3408224482,,,90584285,,CC_BY_NC_4_0,2021-11-03T23:01:26Z,https://www.inaturalist.org/observations/90584285,,ameliacshields,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/90584285,90584285,,ameliacshields,,,PRESENT,,,,,,,,,,,,2021-08-08 18:27:35,02:27:35Z,,,2021,8,8,Sun Aug 08 2021 18:27:35 GMT -0800 (AKDT),,,,US,Alaska,,,,"Anchorage County, US-AK, US",,,,,61.398891,-149.083969,12,,,,,,,,198096917,,ameliacshields,2021-08-09 21:22:06,,,52821,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,millefolium,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:35.696Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,3120060,3120060,6,7707728,220,414,3065,3119995,3120060,Achillea millefolium,Achillea,Achillea millefolium L.,Achillea millefolium,DWC_ARCHIVE,2022-03-15T18:43:35.696Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Achillea millefolium L.,LC
325,3408224476,,,89124692,,CC_BY_NC_4_0,2021-11-03T05:55:55Z,https://www.inaturalist.org/observations/89124692,,billsherwonit,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/89124692,89124692,,billsherwonit,,,PRESENT,,,,,,,,,,,,2021-07-29 14:54:30,22:54:30Z,,,2021,7,29,Thu Jul 29 2021 14:54:30 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.006401,-149.566204,10,,,,,,,,195163390,,billsherwonit,2021-07-29 22:54:37,,,142791,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,lasiocarpa,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:09:40.692Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5411731,5411731,6,7707728,220,414,8801,3161935,5411731,Campanula lasiocarpa,Campanula,Campanula lasiocarpa Cham.,Campanula lasiocarpa,DWC_ARCHIVE,2022-03-15T19:09:40.692Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Campanula lasiocarpa Cham.,NE
326,3408222458,,,88080189,,CC0_1_0,2021-11-03T05:35:57Z,https://www.inaturalist.org/observations/88080189,,Heather Mazzaccaro,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/88080189,88080189,,Heather Mazzaccaro,,flowering|fruiting,PRESENT,,,,,,,,,,,,2021-07-21 9:25:09,13:25:09Z,,,2021,7,21,7/21/21 9:25,,,,US,Alaska,,,,"Anchorage, AK 99567, USA",,,,,61.443308,-149.360526,166,,,,,,,,193114432,,Heather Mazzaccaro,2021-07-22 3:11:33,,,77266,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Geum,macrophyllum,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:09:36.216Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5369784,5369784,6,7707728,220,691,5015,3024294,5369784,Geum macrophyllum,Geum,Geum macrophyllum Willd.,Geum macrophyllum,DWC_ARCHIVE,2022-03-15T19:09:36.216Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Geum macrophyllum Willd.,NE
327,3408222451,,,86501462,,CC_BY_NC_4_0,2021-11-02T20:02:32Z,https://www.inaturalist.org/observations/86501462,,outdoorexploring,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/86501462,86501462,,outdoorexploring,,,PRESENT,,,,,,,,,,,,2021-07-10 17:50:00,01:50:00Z,,,2021,7,10,Sat Jul 10 2021 17:50:00 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.317956,-149.462487,4,,,,,,,,194441255,,pynklynx,2021-07-27 3:31:49,,,47700,,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,erianthum,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:42:46.421Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2890394,2890394,6,7707728,220,624,4676,2889949,2890394,Geranium erianthum,Geranium,Geranium erianthum DC.,Geranium erianthum,DWC_ARCHIVE,2022-03-15T18:42:46.421Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Geranium erianthum DC.,NE
328,3408222435,,,82375669,,CC_BY_NC_4_0,2021-11-01T06:47:15Z,https://www.inaturalist.org/observations/82375669,,matthewpizza,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/82375669,82375669,,matthewpizza,,,PRESENT,,,,,,,,,,,,2021-06-05 21:22:30,05:22:30Z,,,2021,6,5,Sat Jun 05 2021 21:22:30 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.061123,-149.6159,7050,,,,,,,,181934016,,matthewpizza,2021-06-10 2:08:14,,,119826,,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,lyrata,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:55:41.631Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,3052468,3052468,6,7707728,220,7225535,3112,3052435,3052468,Arabidopsis lyrata,Arabidopsis,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz,Arabidopsis lyrata,DWC_ARCHIVE,2022-03-15T18:55:41.631Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Arabidopsis lyrata (L.) O'Kane & Al-Shehbaz,NE
329,3408221523,,,93939875,,CC_BY_NC_4_0,2021-11-05T07:09:11Z,https://www.inaturalist.org/observations/93939875,,C.S.Yampae,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/93939875,93939875,,C.S.Yampae,,,PRESENT,,,,,,,,,,,,2021-09-06 14:46:59,22:46:59Z,,,2021,9,6,Mon Sep 06 2021 14:46:59 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.099997,-149.683778,12,,,,,,,,206936274,,dennisronsse,2021-09-14 17:16:34,,,231135,,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Solorina,crocea,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:08:51.505Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,2601134,2601134,5,95,180,1055,8373,2601132,2601134,Solorina crocea,Solorina,Solorina crocea (L.) Ach.,Solorina crocea,DWC_ARCHIVE,2022-03-15T19:08:51.505Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Solorina crocea (L.) Ach.,NE
330,3408220513,,,89998274,,CC_BY_NC_4_0,2021-11-03T23:00:04Z,https://www.inaturalist.org/observations/89998274,,hbrewster,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/89998274,89998274,,hbrewster,,,PRESENT,,,,,,,,,,,,2021-08-03 16:20:57,00:20:57Z,,,2021,8,3,Tue Aug 03 2021 16:20:57 GMT-0800 (AKDT),,,,US,Alaska,,,,"Chugach State Park, Anchorage, AK, US",,,,,61.249042,-149.533888,11,,,,,,,,196930634,,hbrewster,2021-08-05 5:40:33,,,61470,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,minor,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:08:34.691Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,3172043,3172043,6,7707728,220,408,6651,3172042,3172043,Rhinanthus minor,Rhinanthus,Rhinanthus minor L.,Rhinanthus minor,DWC_ARCHIVE,2022-03-15T19:08:34.691Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Rhinanthus minor L.,NE
331,3408220498,,,88448211,,CC_BY_NC_4_0,2021-11-03T05:40:04Z,https://www.inaturalist.org/observations/88448211,,Alex (Alexandria) Wenninger,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/88448211,88448211,,Alex (Alexandria) Wenninger,,,PRESENT,,,,,,,,,,,,2021-07-24 9:20:59,17:20:59Z,,,2021,7,24,7/24/21 9:20,,,,US,Alaska,,,,"Anchorage, AK 99577, USA",,,,,61.204731,-149.243347,,,,,,,,,193807530,,Alex (Alexandria) Wenninger,2021-07-24 21:03:13,,,75415,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,alnifolia,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T18:43:05.487Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,8168485,8168485,6,7707728,220,691,5015,3023817,8168485,Amelanchier alnifolia,Amelanchier,Amelanchier alnifolia (Nutt.) Nutt.,Amelanchier alnifolia,DWC_ARCHIVE,2022-03-15T18:43:05.487Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Amelanchier alnifolia (Nutt.) Nutt.,LC
332,3408218492,,,89359311,,CC_BY_NC_4_0,2021-11-03T05:57:16Z,https://www.inaturalist.org/observations/89359311,,Emily,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,https://www.inaturalist.org/observations/89359311,89359311,,Emily,,,PRESENT,,,,,,,,,,,,2021-07-19 16:39:00,16:39:00Z,,,2021,7,19,2021/07/19 4:39 PM UTC,,,,US,Alaska,,,,"Anchorage, AK 99577, USA",,,,,61.203517,-149.347206,30634,,,,,,,,195695613,,Emily,2021-07-31 19:21:49,,,79072,,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Shepherdia,canadensis,,SPECIES,,,,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-03-15T19:23:06.174Z,,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5372427,5372427,6,7707728,220,691,2408,3039276,5372427,Shepherdia canadensis,Shepherdia,Shepherdia canadensis (L.) Nutt.,Shepherdia canadensis,DWC_ARCHIVE,2022-03-15T19:23:06.174Z,2022-03-15T15:37:03.857Z,FALSE,USA,United States,USA.2_1,Alaska,USA.2.3_1,Anchorage,Shepherdia canadensis (L.) Nutt.,NE
